rfc	category	title_short	filename	source_url	bytes	lines	sha256
RFC 5789	01_http_web_protocol_behavior	PATCH Method for HTTP	01_http_web_protocol_behavior/RFC_5789_patch_method_for_http.txt	https://www.rfc-editor.org/rfc/rfc5789.txt	21706	564	9405262c2f3a33848c6cf1694e5e40222eb27a6858a6d93e70328b444d197e8f
RFC 6585	01_http_web_protocol_behavior	Additional HTTP Status Codes	01_http_web_protocol_behavior/RFC_6585_additional_http_status_codes.txt	https://www.rfc-editor.org/rfc/rfc6585.txt	17164	564	f6d55d1b491cd515c35827cf9181753b23b2a68c4df14e56d83dc445b3876e58
RFC 7239	01_http_web_protocol_behavior	Forwarded HTTP Extension	01_http_web_protocol_behavior/RFC_7239_forwarded_http_extension.txt	https://www.rfc-editor.org/rfc/rfc7239.txt	35003	900	f15c45c9e079684bc4284d041be63285923962448cb0d8540d54106c68c2a40d
RFC 7240	01_http_web_protocol_behavior	Prefer Header for HTTP	01_http_web_protocol_behavior/RFC_7240_prefer_header_for_http.txt	https://www.rfc-editor.org/rfc/rfc7240.txt	32796	956	2cde510338babf6ad937e0bcb31989bb9a664ab1567d4b41cb143fe9740ae16e
RFC 8288	01_http_web_protocol_behavior	Web Linking	01_http_web_protocol_behavior/RFC_8288_web_linking.txt	https://www.rfc-editor.org/rfc/rfc8288.txt	50797	1348	820f624e0b0884af5c732e8087a65182452e49f2f49cd784ad7c30e16a4fc35d
RFC 8297	01_http_web_protocol_behavior	An HTTP Status Code for Indicating Hints	01_http_web_protocol_behavior/RFC_8297_an_http_status_code_for_indicating_hints.txt	https://www.rfc-editor.org/rfc/rfc8297.txt	13303	396	ce97f9531cc74227a36785bb0136bcb032e5e7544551519c5dcee80db68d42e5
RFC 8470	01_http_web_protocol_behavior	Using Early Data in HTTP	01_http_web_protocol_behavior/RFC_8470_using_early_data_in_http.txt	https://www.rfc-editor.org/rfc/rfc8470.txt	25880	676	483c316c2b5d2687357fc66e3da5acc153cc4cfe9817d92da8f63b9e21a62974
RFC 8594	01_http_web_protocol_behavior	The Sunset HTTP Header Field	01_http_web_protocol_behavior/RFC_8594_the_sunset_http_header_field.txt	https://www.rfc-editor.org/rfc/rfc8594.txt	23588	620	1a20d634f9cb1d68295b5c501d32c68f43799dfbdb1e8b4ac21707b8c273aa80
RFC 8615	01_http_web_protocol_behavior	Well-Known Uniform Resource Identifiers	01_http_web_protocol_behavior/RFC_8615_well_known_uniform_resource_identifiers.txt	https://www.rfc-editor.org/rfc/rfc8615.txt	26866	676	02d45caeb86c00197d30428472102bb558881fa61937804330c1242a0be5b5dc
RFC 9116	01_http_web_protocol_behavior	security.txt	01_http_web_protocol_behavior/RFC_9116_security_txt.txt	https://www.rfc-editor.org/rfc/rfc9116.txt	45129	1123	79d19ce7a4a35496981095a27fd992797a9fc4d6f3649c2a1e14f494607c61f9
RFC 9205	01_http_web_protocol_behavior	Building Protocols with HTTP	01_http_web_protocol_behavior/RFC_9205_building_protocols_with_http.txt	https://www.rfc-editor.org/rfc/rfc9205.txt	68861	1534	43f73e1abf672f4183892a022efe9e71fd40d2def597e546cfb3c035990e2675
RFC 9457	01_http_web_protocol_behavior	Problem Details for HTTP APIs	01_http_web_protocol_behavior/RFC_9457_problem_details_for_http_apis.txt	https://www.rfc-editor.org/rfc/rfc9457.txt	34106	839	f2b3db92fb0bf3489cb3841a0da0c0d88dff40797b64d40b6123085183886c7b
RFC 6901	02_json_data_formats	JSON Pointer	02_json_data_formats/RFC_6901_json_pointer.txt	https://www.rfc-editor.org/rfc/rfc6901.txt	13037	452	12f9f4fc13d686aa4fbe7d144d70166cd3fcd4ab89174c2b13bda8f4b55e49da
RFC 6902	02_json_data_formats	JSON Patch	02_json_data_formats/RFC_6902_json_patch.txt	https://www.rfc-editor.org/rfc/rfc6902.txt	26405	1012	ded8fa1754ab1566fd72611c9d5bcde931cd2bdf8351889e2ef5b50efdf1eed4
RFC 7386	02_json_data_formats	JSON Merge Patch	02_json_data_formats/RFC_7386_json_merge_patch.txt	https://www.rfc-editor.org/rfc/rfc7386.txt	12930	508	f6d41a44cc52138f799757fd8d45b839701b6a41c4c33e63d08a43907c7e8130
RFC 7493	02_json_data_formats	The I-JSON Message Format	02_json_data_formats/RFC_7493_the_i_json_message_format.txt	https://www.rfc-editor.org/rfc/rfc7493.txt	12849	340	a44ccf1451a7bf4f4bbb78b39e10ed0e9a27ff2ee5b639c6458042b5a7197062
RFC 8259	02_json_data_formats	The JSON Data Interchange Format	02_json_data_formats/RFC_8259_the_json_data_interchange_format.txt	https://www.rfc-editor.org/rfc/rfc8259.txt	28360	900	61a5378f4255c720beb2a4b4a63b29540147c140f36988bf086291989b4cd2d7
RFC 8785	02_json_data_formats	JSON Canonicalization Scheme	02_json_data_formats/RFC_8785_json_canonicalization_scheme.txt	https://www.rfc-editor.org/rfc/rfc8785.txt	41879	985	63d52294eb0e3f0014174288186d388b4ddbf2c67d1ce8af1d9726eb0c3ab240
RFC 7519	02_json_data_formats	JSON Web Token	02_json_data_formats/RFC_7519_json_web_token.txt	https://www.rfc-editor.org/rfc/rfc7519.txt	63039	1684	fecd930e9ccf2276b95c0017c6c4ff5d09352e4bc3c7629946447894e0f97248
RFC 8725	02_json_data_formats	JWT Best Current Practices	02_json_data_formats/RFC_8725_jwt_best_current_practices.txt	https://www.rfc-editor.org/rfc/rfc8725.txt	30793	681	737b7013a2495dcfd5481cf4c57c87e2455d537c4cec1140c9096a71fcef0812
RFC 7636	03_oauth_auth_discovery	Proof Key for Code Exchange by OAuth Public Clients	03_oauth_auth_discovery/RFC_7636_proof_key_for_code_exchange_by_oauth_public_clients.txt	https://www.rfc-editor.org/rfc/rfc7636.txt	39482	1124	1972e5d81cbaba7066cfd46374207bc2b4546b085ed5dd9b034e79e023e0ca31
RFC 7009	03_oauth_auth_discovery	OAuth 2.0 Token Revocation	03_oauth_auth_discovery/RFC_7009_oauth_2_0_token_revocation.txt	https://www.rfc-editor.org/rfc/rfc7009.txt	23517	620	b2f346d5a87ba9d7f09047901257a65f7ac0b26352095969c25821afab447829
RFC 7662	03_oauth_auth_discovery	OAuth 2.0 Token Introspection	03_oauth_auth_discovery/RFC_7662_oauth_2_0_token_introspection.txt	https://www.rfc-editor.org/rfc/rfc7662.txt	36591	956	2b7d688cb849f093e860557ac97e6cddac2556d69a4386561b22cdf97bf13657
RFC 8414	03_oauth_auth_discovery	OAuth 2.0 Authorization Server Metadata	03_oauth_auth_discovery/RFC_8414_oauth_2_0_authorization_server_metadata.txt	https://www.rfc-editor.org/rfc/rfc8414.txt	53831	1292	16c816e4e0fdbffb7e910ff3017867bf39debe9cb7f52f5cbc508a052ed660e8
RFC 8628	03_oauth_auth_discovery	OAuth 2.0 Device Authorization Grant	03_oauth_auth_discovery/RFC_8628_oauth_2_0_device_authorization_grant.txt	https://www.rfc-editor.org/rfc/rfc8628.txt	46718	1180	ebd3c37415aa665b55b412fccd9571943e8dbd3f2bf0b18fee4924264252decd
RFC 7523	03_oauth_auth_discovery	JWT Profile for OAuth 2.0 Client Authentication and Authorization Grants	03_oauth_auth_discovery/RFC_7523_jwt_profile_for_oauth_2_0_client_authentication_and_authorization_grants.txt	https://www.rfc-editor.org/rfc/rfc7523.txt	26459	676	ae24f77a8fc4338903c805c6ace38def1f23d40194aea87b123b13c5b3d2d915
RFC 8705	03_oauth_auth_discovery	OAuth 2.0 Mutual-TLS Client Authentication and Certificate-Bound Access Tokens	03_oauth_auth_discovery/RFC_8705_oauth_2_0_mutual_tls_client_authentication_and_certificate_bound_access_tokens.txt	https://www.rfc-editor.org/rfc/rfc8705.txt	60285	1225	6e45a1ee94c6a6a177a4cb077fe67d74bd70c1218c9362f2db2f153239612414
RFC 6750	03_oauth_auth_discovery	OAuth 2.0 Bearer Token Usage	03_oauth_auth_discovery/RFC_6750_oauth_2_0_bearer_token_usage.txt	https://www.rfc-editor.org/rfc/rfc6750.txt	38949	1012	9dc385cf4ecdd85024e5a95e447ede9230e11700bf35251906b25b37557d604b
RFC 9309	04_operational_security_policy	Robots Exclusion Protocol	04_operational_security_policy/RFC_9309_robots_exclusion_protocol.txt	https://www.rfc-editor.org/rfc/rfc9309.txt	25265	608	f633915daaa15b943cae56545d333bcf3ba4d156599e4555499686d6699fb207
RFC 8461	04_operational_security_policy	SMTP MTA Strict Transport Security	04_operational_security_policy/RFC_8461_smtp_mta_strict_transport_security.txt	https://www.rfc-editor.org/rfc/rfc8461.txt	59461	1628	31296488efa6ce89fb3a8a26a17ffe3b75f9379acc709aa5f82af6c9ae71283e
RFC 8659	04_operational_security_policy	DNS Certification Authority Authorization Resource Record	04_operational_security_policy/RFC_8659_dns_certification_authority_authorization_resource_record.txt	https://www.rfc-editor.org/rfc/rfc8659.txt	35766	824	5f0e193e3bfad5273fe8dd1086d060bdec951505d61bfd0111ae832c1f3e293d
RFC 9562	04_operational_security_policy	Universally Unique IDentifiers	04_operational_security_policy/RFC_9562_universally_unique_identifiers.txt	https://www.rfc-editor.org/rfc/rfc9562.txt	114638	2486	041870106b8701d9fa9261dcbc1679a6b7ab18cb179b37b69d7232431eac8042
